Course ID,Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
185,Understanding TypeScript - 2022 Edition,"Don't limit the Usage of TypeScript to Angular! Learn the Basics, its Features, Workflows and how to use it!",https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,4.7,"29,070",15 total hours,198 lectures,All Levels,"138,981 students",True,799
140,Modern JavaScript From The Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),https://www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,4.7,"28,112",21.5 total hours,122 lectures,All Levels,"92,356 students",True,799
143,Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",https://www.udemy.com/course/understand-nodejs/,Anthony Alicea,4.6,"26,644",13 total hours,97 lectures,All Levels,"116,848 students",True,749
146,The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",https://www.udemy.com/course/the-complete-angular-master-class/,Mosh Hamedani,4.6,"25,102",29.5 total hours,376 lectures,All Levels,"101,827 students",True,699
149,Modern HTML & CSS From The Beginning (Including Sass),"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",https://www.udemy.com/course/modern-html-css-from-the-beginning/,Brad Traversy,4.7,"21,738",21 total hours,129 lectures,All Levels,"65,951 students",True,699
152,Angular & NodeJS - The MEAN Stack Guide [2022 Edition],Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,4.6,"21,558",13 total hours,151 lectures,All Levels,"108,354 students",True,749
155,PHP for Beginners - Become a PHP Master - CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,"Edwin Diaz, Coding Faculty Solutions",4.4,"21,414",38.5 total hours,344 lectures,All Levels,"106,218 students",True,849
158,The Complete React Developer Course (w/ Hooks and Redux),"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",https://www.udemy.com/course/react-2nd-edition/,Andrew Mead,4.6,"21,145",39 total hours,200 lectures,Beginner,"76,694 students",True,749
161,Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",https://www.udemy.com/course/learn-angularjs/,Anthony Alicea,4.6,"20,589",7 total hours,55 lectures,All Levels,"91,776 students",True,649
164,Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Stephen Grider,4.6,"19,692",24.5 total hours,268 lectures,All Levels,"100,281 students",True,699
167,Python for beginners,Master the fundamentals of Python while working on various usecases in easy steps,https://www.udemy.com/course/python-core-and-advanced/,Bharath Thippireddy,4.6,"19,589",13.5 total hours,285 lectures,All Levels,"221,779 students",True,749
170,"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL)","Become a Senior React Developer! Build a massive E-commerce app with Redux, Hooks, GraphQL, ContextAPI, Stripe, Firebase",https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,"Andrei Neagoie, Yihua Zhang, Zero To Mastery",4.6,"18,445",42.5 total hours,383 lectures,All Levels,"90,795 students",True,699
173,Build an app with ASPNET Core and Angular from scratch,A practical example of how to build an application with ASP.NET Core API and Angular from start to finish,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/,Neil Cummings,4.6,"17,902",30 total hours,264 lectures,Beginner,"76,685 students",True,849
176,Angular Crash Course for Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,https://www.udemy.com/course/angular-crash-course/,Mosh Hamedani,4.5,"17,342",10.5 total hours,137 lectures,All Levels,"71,373 students",True,649
179,Become a WordPress Developer: Unlocking Power With Code,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,Brad Schiff,4.7,"17,164",35.5 total hours,162 lectures,All Levels,"74,382 students",True,849
182,REST APIs with Flask and Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy",https://www.udemy.com/course/rest-api-flask-and-python/,"Jose Salvatierra, Teclado by Jose Salvatierra",4.6,"16,279",17 total hours,157 lectures,Intermediate,"89,582 students",True,799
185,Bootstrap 4 From Scratch With 5 Projects,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,https://www.udemy.com/course/bootstrap-4-from-scratch-with-5-projects/,Brad Traversy,4.6,"15,537",11.5 total hours,74 lectures,All Levels,"65,165 students",True,849
140,Learn HTML5 Programming From Scratch,A Complete HTML5 Programming Course for Beginners,https://www.udemy.com/course/learn-html5-programming-from-scratch/,Eduonix Learning Solutions,4.1,"14,523",17 total hours,72 lectures,All Levels,"318,482 students",True,649
143,The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",https://www.udemy.com/course/the-complete-wordpress-website-business-course/,"Rob Percival, Gregg Davis, Codestars by Rob Percival",4.2,"14,388",22 total hours,115 lectures,All Levels,"75,958 students",True,699
146,"MERN Stack Front To Back: Full Stack React, Redux & Node.js","Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",https://www.udemy.com/course/mern-stack-front-to-back/,Brad Traversy,4.6,"14,316",12 total hours,73 lectures,Intermediate,"56,221 students",True,899
149,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,"Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",https://www.udemy.com/course/html-css-more/,"Andrew Eddy, Margot Dukes",4.5,"13,846",5.5 total hours,58 lectures,Beginner,"65,343 students",True,649
152,Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",https://www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,4.6,"13,830",26 total hours,211 lectures,All Levels,"78,924 students",True,849
155,The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,https://www.udemy.com/course/the-complete-ruby-on-rails-developer-course/,"Rob Percival, Mashrur Hossain, Codestars by Rob Percival",4.6,"13,382",48 total hours,432 lectures,All Levels,"84,947 students",True,849
158,The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Stephen Grider,4.7,"13,100",13 total hours,137 lectures,All Levels,"85,767 students",True,899
161,Javascript for Beginners Learn by Doing Practical Exercises,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,https://www.udemy.com/course/javascript-for-beginners-introduction-learn-fast-easy/,"Edwin Diaz, Coding Faculty Solutions",4.5,"13,049",4 total hours,31 lectures,All Levels,"31,330 students",True,649
164,Ultimate Web Designer & Web Developer Course,Become a Full-Stack Web Designer in 2022 - Learn Everything from Web Design Fundamentals to Front-End Web Development,https://www.udemy.com/course/web-developer-course/,Brad Hussey,4.5,"12,834",34.5 total hours,260 lectures,All Levels,"73,936 students",True,649
167,Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,https://www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,"Tao W., Level Up, James Lee",4.3,"12,603",3 total hours,49 lectures,All Levels,"57,532 students",True,799
170,The Complete Front-End Web Development Course!,"Get started as a front-end web developer using HTML, CSS, JavaScript, jQuery, and Bootstrap!",https://www.udemy.com/course/front-end-web-development/,"Joseph Delgadillo, Nick Germaine",4.4,"12,596",17 total hours,126 lectures,All Levels,"422,875 students",True,899
173,The Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",https://www.udemy.com/course/modern-javascript/,Andrew Mead,4.7,"12,042",29.5 total hours,155 lectures,All Levels,"47,290 students",True,649
176,AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",https://www.udemy.com/course/aws-serverless-a-complete-introduction/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,"11,370",8 total hours,142 lectures,All Levels,"71,916 students",True,749
179,ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,https://www.udemy.com/course/javascript-es6-tutorial/,Stephen Grider,4.7,"11,318",6.5 total hours,70 lectures,Beginner,"46,981 students",True,649
182,PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,https://www.udemy.com/course/php-with-laravel-for-beginners-become-a-master-in-laravel/,"Edwin Diaz, Coding Faculty Solutions",4.5,"11,129",43 total hours,409 lectures,All Levels,"47,724 students",True,649
185,"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node",https://www.udemy.com/course/ultimate-web/,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",4.5,"10,979",31.5 total hours,168 lectures,Beginner,"115,146 students",True,799
140,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2022","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,Jonas Schmedtmann,4.7,"10,645",42 total hours,229 lectures,All Levels,"62,741 students",True,699
143,Node.js: The Complete Guide to Build RESTful APIs (2018),"Learn to build fast, scalable and secure RESTful services with Node, Express and MongoDB, from setup to production",https://www.udemy.com/course/nodejs-master-class/,Mosh Hamedani,4.7,"10,624",15 total hours,224 lectures,Intermediate,"44,608 students",True,749
146,Microservices with Node JS and React,"Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",https://www.udemy.com/course/microservices-with-node-js-and-react/,Stephen Grider,4.8,"10,565",54.5 total hours,642 lectures,All Levels,"71,315 students",True,749
149,Advanced React and Redux,"Walkthroughs on advanced React v16.6.3 and Redux v4.0.0 - Authentication, Testing, Middlewares, HOC's, and Deployment",https://www.udemy.com/course/react-redux-tutorial/,Stephen Grider,4.5,"10,419",21 total hours,240 lectures,Intermediate,"78,276 students",True,699
152,JavaScript: The Advanced Concepts (2022 Update),Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,https://www.udemy.com/course/advanced-javascript-concepts/,"Andrei Neagoie, Zero To Mastery",4.7,"10,192",25.5 total hours,229 lectures,All Levels,"54,803 students",True,799
155,Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more",https://www.udemy.com/course/progressive-web-app-pwa-the-complete-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,"9,750",16 total hours,208 lectures,All Levels,"56,206 students",True,749
158,Master Java Web Services and RESTful API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,https://www.udemy.com/course/spring-web-services-tutorial/,in28Minutes Official,4.4,"9,602",9.5 total hours,109 lectures,All Levels,"55,849 students",True,799
161,AWS CloudFormation Master Class v2 [2022],Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features,https://www.udemy.com/course/aws-cloudformation-master-class/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,"9,467",7 total hours,113 lectures,All Levels,"44,550 students",True,899
164,Build Websites from Scratch with HTML & CSS,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course,https://www.udemy.com/course/build-website-scratch/,"Brad Hussey, Code College",4.6,"9,334",8 total hours,77 lectures,Beginner,"75,312 students",True,799
167,The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!",https://www.udemy.com/course/the-advanced-web-developer-bootcamp/,"Colt Steele, Elie Schoppik, Tim Garcia, Matt Lane",4.5,"8,937",34 total hours,391 lectures,Intermediate,"74,740 students",True,749
170,GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,https://www.udemy.com/course/graphql-with-react-course/,Stephen Grider,4.5,"8,755",13.5 total hours,116 lectures,Intermediate,"52,405 students",True,849
173,React Front To Back,"Learn Modern React 16.8+ Including Hooks, Context API, Full Stack MERN & Redux By Building Real Life Projects",https://www.udemy.com/course/modern-react-front-to-back/,Brad Traversy,4.4,"8,610",14 total hours,91 lectures,All Levels,"32,679 students",True,899
176,"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,https://www.udemy.com/course/modern-javascript-from-novice-to-ninja/,The Net Ninja (Shaun Pelling),4.8,"8,258",20.5 total hours,188 lectures,All Levels,"25,969 students",True,649
179,Front End Web Development Ultimate Course 2022,You'll learn all the fundamentals of Front-End Web Development and how you can  Use them to start creating websites!,https://www.udemy.com/course/learn-front-end-development/,Learn Tech Plus,4.2,"8,212",91.5 total hours,689 lectures,All Levels,"490,956 students",True,849
182,Web Development Masterclass - Complete Certificate Course,Learn to setup virtual cloud servers and develop database-driven websites using the latest web technologies.,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/,YouAccel Training,4.4,"7,951",20.5 total hours,372 lectures,All Levels,"408,878 students",True,699
185,Docker & Kubernetes: The Practical Guide [2022 Edition],"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.8,"7,854",23.5 total hours,259 lectures,All Levels,"54,684 students",True,899
140,Learn Object Oriented PHP By Building a Complete Website,Quick and Easy Guide to Master OOPs in PHP,https://www.udemy.com/course/learn-object-oriented-php-by-building-a-complete-website/,"Eduonix Learning Solutions, Eduonix-Tech .",4.6,"7,766",4.5 total hours,33 lectures,All Levels,"112,923 students",True,599
143,Go Java Full Stack with Spring Boot and Angular,Become a Full Stack Java Developer. Build Your First Java Full Stack Application with Angular and Spring Boot.,https://www.udemy.com/course/full-stack-application-development-with-spring-boot-and-angular/,in28Minutes Official,4.5,"7,311",11 total hours,125 lectures,All Levels,"63,763 students",True,649
146,NestJS Zero to Hero - Modern TypeScript Back-end Development,Develop and deploy enterprise back-end applications following best practices using Node.js and TypeScript,https://www.udemy.com/course/nestjs-zero-to-hero/,Ariel Weinberger,4.8,"7,191",9 total hours,136 lectures,All Levels,"103,463 students",True,749
149,"Angular (Full App) with Angular Material, Angularfire & NgRx","Use Angular, Angular Material, Angularfire (+ Firebase with Firestore) and NgRx to build a real Angular App",https://www.udemy.com/course/angular-full-app-with-angular-material-angularfire-ngrx/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,"7,101",11.5 total hours,140 lectures,All Levels,"36,518 students",True,699
152,The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,https://www.udemy.com/course/the-complete-developers-guide-to-mongodb/,Stephen Grider,4.5,"7,091",13.5 total hours,130 lectures,All Levels,"46,351 students",True,799
155,The Complete Junior to Senior Web Developer Roadmap (2022),Go from Junior Developer to Senior Developer. Learn all the technical skills Senior Web Developers know!,https://www.udemy.com/course/the-complete-junior-to-senior-web-developer-roadmap/,"Andrei Neagoie, Zero To Mastery",4.7,"7,073",37 total hours,437 lectures,Intermediate,"62,483 students",True,799
158,Node JS: Advanced Concepts,"Get advanced with Node.Js! Learn caching with Redis, speed up through clustering, and add image upload with S3 and Node!",https://www.udemy.com/course/advanced-node-for-developers/,Stephen Grider,4.6,"7,043",16 total hours,168 lectures,Intermediate,"45,030 students",True,649
161,Advanced Javascript,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,https://www.udemy.com/course/javascript-advanced/,Asim Hussain,4.6,"6,904",6.5 total hours,47 lectures,Intermediate,"28,253 students",True,799
164,Python and Flask Bootcamp: Create Websites using Flask!,Create awesome websites using the powerful Flask framework for Python!,https://www.udemy.com/course/python-and-flask-bootcamp-create-websites-using-flask/,Jose Portilla,4.6,"6,845",20 total hours,127 lectures,All Levels,"36,277 students",True,799
167,Git a Web Developer Job: Mastering the Modern Workflow,"Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Netlify, BEM and Job Interview Tips",https://www.udemy.com/course/git-a-web-developer-job-mastering-the-modern-workflow/,Brad Schiff,4.6,"6,831",16 total hours,74 lectures,Beginner,"33,668 students",True,649
170,"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50 quick, unique & fun mini projects",https://www.udemy.com/course/50-projects-50-days/,"Brad Traversy, Florin Pop",4.7,"6,820",18.5 total hours,164 lectures,Beginner,"43,005 students",True,799
173,"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!,https://www.udemy.com/course/modern-react-bootcamp/,Colt Steele,4.6,"6,530",39 total hours,313 lectures,Beginner,"33,908 students",True,899
176,Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 20 years of teaching experience.,https://www.udemy.com/course/go-programming-language/,Todd McLeod,4.6,"6,506",19 total hours,173 lectures,Intermediate,"48,390 students",True,799
179,"HTML, CSS, & JavaScript - Certification Course for Beginners","A Comprehensive Guide for Beginners interested in learning HTML, CSS, & JavaScript to Build Interactive Web Pages.",https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/,YouAccel Training,4.2,"6,498",5.5 total hours,113 lectures,Beginner,"240,650 students",True,649
182,The Complete 2022 Web Development Course - Build 15 Projects,"The only course you need to become a full-stack web developer. Covers HTML5, CSS3, JS, ES6, Node, APIs, Mobile & more!",https://www.udemy.com/course/complete-web-development-course/,Development Island (UK),4.5,"6,400",99.5 total hours,508 lectures,All Levels,"29,929 students",True,699
185,Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,https://www.udemy.com/course/angular-4-front-to-back/,Brad Traversy,4.7,"6,351",11.5 total hours,73 lectures,All Levels,"23,717 students",True,649
140,The Complete Elixir and Phoenix Bootcamp,Master Functional Programming techniques with Elixir and Phoenix while learning to build compelling web applications!,https://www.udemy.com/course/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/,Stephen Grider,4.5,"6,275",17.5 total hours,154 lectures,All Levels,"23,043 students",True,699
143,Master Hibernate and JPA with Spring Boot in 100 Steps,"Learn Hibernate, JPA (Java Persistence API) and Spring Data JPA using Spring and Spring Boot",https://www.udemy.com/course/hibernate-jpa-tutorial-for-beginners-in-100-steps/,in28Minutes Official,4.5,"6,172",13 total hours,158 lectures,All Levels,"50,544 students",True,799
146,Nuxt.js - Vue.js on Steroids,Build highly engaging Vue JS apps with Nuxt.js. Nuxt adds easy server-side-rendering and a folder-based config approach.,https://www.udemy.com/course/nuxtjs-vuejs-on-steroids/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,"6,132",6.5 total hours,106 lectures,Intermediate,"29,276 students",True,899
149,Build Web Apps with Vue JS 3 & Firebase,Learn Vue JS 3 & Firebase by creating & deploying dynamic web apps (including Authentication).,https://www.udemy.com/course/build-web-apps-with-vuejs-firebase/,The Net Ninja (Shaun Pelling),4.8,"6,008",31.5 total hours,314 lectures,All Levels,"23,855 students",True,699
152,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide","Build fullstack React.js applications with Node.js, Express.js & MongoDB (MERN) with this project-focused course.",https://www.udemy.com/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz",4.6,"5,962",19 total hours,207 lectures,All Levels,"34,170 students",True,749
155,Learn Spring Boot in 100 Steps - No 1 Java Framework,Become an expert on Spring Boot developing a REST API and a Spring MVC Web application using Maven in 100 steps,https://www.udemy.com/course/spring-boot-tutorial-for-beginners/,in28Minutes Official,4.4,"5,908",13.5 total hours,128 lectures,All Levels,"50,526 students",True,799
158,20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)",https://www.udemy.com/course/web-projects-with-vanilla-javascript/,Brad Traversy,4.8,"5,576",16 total hours,121 lectures,All Levels,"30,955 students",True,849
161,The Complete 2020 Fullstack Web Developer Course,"Learn HTML5, CSS3, JavaScript, Python, Wagtail CMS, PHP & MySQL from scratch!",https://www.udemy.com/course/thecompletewebdeveloper/,Kalob Taulien,4.6,"5,542",67 total hours,695 lectures,All Levels,"86,347 students",True,699
164,Django 2.2 & Python | The Ultimate Web Development Bootcamp,"Build three complete websites, learn back and front-end web development, and publish your site online with DigitalOcean",https://www.udemy.com/course/the-ultimate-beginners-guide-to-django-django-2-python-web-dev-website/,Nick Walter,4.6,"5,505",10 total hours,78 lectures,Beginner,"22,928 students",True,749
167,JavaScript Beginner Bootcamp (2022),"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",https://www.udemy.com/course/javascript-the-basics-for-beginners/,Rob Merrill,4.7,"5,481",38.5 total hours,385 lectures,Beginner,"24,051 students",True,649
170,Salesforce Development Training for Beginners,Salesforce Development :Learn about Apex programming and Salesforce development. Become a Salesforce Developer.,https://www.udemy.com/course/learn-salesforce-apex-basic-to-advance/,Deepika Khanna,4.5,"5,465",14 total hours,110 lectures,All Levels,"27,137 students",True,799
173,Web Developer Bootcamp with Flask and Python,"Become a Full Stack Web Developer using Flask, Python, HTML, CSS, and MongoDB!",https://www.udemy.com/course/web-developer-bootcamp-flask-python/,"Jose Salvatierra, Teclado by Jose Salvatierra",4.5,"5,337",28.5 total hours,291 lectures,Intermediate,"35,675 students",True,749
176,E-Commerce Website in PHP & MySQL From Scratch!,Learn to Create an Online Store E-COMMERCE website in PHP & MySQLi from scratch with Admin Panel.,https://www.udemy.com/course/online-store-e-commerce-website-in-php-mysql-from-scratch/,Abdul Wali,4.1,"5,335",7.5 total hours,61 lectures,All Levels,"123,618 students",True,699
179,Accelerated JavaScript Training,"Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach",https://www.udemy.com/course/javascript-bootcamp-2016/,Maximilian Schwarzmüller,4.6,"5,266",7.5 total hours,128 lectures,All Levels,"22,808 students",True,749
182,Bash Shell Scripting: Crash Course For Beginners,"Learn Bash Shell Scripting from total beginner:Start from the Command Line,finish with a real world Shell Script Project",https://www.udemy.com/course/bash-shell-scripting-crash-course-for-beginners/,Francesco Santi,4.5,"5,251",5.5 total hours,75 lectures,All Levels,"19,346 students",True,799
185,MERN eCommerce From Scratch,"Build an eCommerce platform from the ground up with React, Redux, Express & MongoDB",https://www.udemy.com/course/mern-ecommerce/,Brad Traversy,4.6,"5,164",15 total hours,92 lectures,All Levels,"19,926 students",True,899
