Course Title,Course Description,URL,Instructor,Course Rating,Number of Ratings,Course Length,Number of Lectures,Difficulty,Number of Students,Subscription Type,Price
Python and Django Full Stack Web Developer Bootcamp,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",https://www.udemy.com/course/python-and-django-full-stack-web-developer-bootcamp/,Jose Portilla,4.6,41957.0,32.0,198,All Levels,170191.0,Paid,849
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!","The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",https://www.udemy.com/course/advanced-css-and-sass/,Jonas Schmedtmann,4.8,34775.0,28.0,126,Intermediate,158289.0,Paid,749
Master Microservices with Spring Boot and Spring Cloud,"Go from Restful Web Services ( REST API ) to Microservices - Java , Spring Boot , Spring Cloud , Docker and Kubernetes",https://www.udemy.com/course/microservices-with-spring-boot-and-spring-cloud/,in28Minutes Official,4.5,34374.0,19.5,242,All Levels,157953.0,Paid,899
HTML and CSS for Beginners - Build a Website & Launch ONLINE,HTML and CSS for Beginners  course will give your all the knowledge you need to master HTML and CSS easily and quickly.,https://www.udemy.com/course/html-and-css-for-beginners-crash-course-learn-fast-easy/,"Edwin Diaz, Coding Faculty Solutions",4.5,33257.0,6.0,49,All Levels,357711.0,Paid,649
The Complete ASP.NET MVC 5 Course,"Learn to build fast and secure web applications with ASP.NET MVC 5 - The most popular course with 40,000+ students!",https://www.udemy.com/course/the-complete-aspnet-mvc-5-course/,Mosh Hamedani,4.3,29976.0,7.5,139,All Levels,114119.0,Paid,799
Understanding TypeScript - 2022 Edition,"Don't limit the Usage of TypeScript to Angular! Learn the Basics, its Features, Workflows and how to use it!",https://www.udemy.com/course/understanding-typescript/,Maximilian Schwarzmüller,4.7,29070.0,15.0,198,All Levels,138981.0,Paid,799
Modern JavaScript From The Beginning,Learn and build projects with pure JavaScript (No frameworks or libraries),https://www.udemy.com/course/modern-javascript-from-the-beginning/,Brad Traversy,4.7,28112.0,21.5,122,All Levels,92356.0,Paid,799
Learn and Understand NodeJS,"Dive deep under the hood of NodeJS. Learn V8, Express, the MEAN stack, core Javascript concepts, and more.",https://www.udemy.com/course/understand-nodejs/,Anthony Alicea,4.6,26644.0,13.0,97,All Levels,116848.0,Paid,749
The Complete Angular Course: Beginner to Advanced,"The most comprehensive Angular 4 (Angular 2+) course. Build a real e-commerce app with Angular, Firebase and Bootstrap 4",https://www.udemy.com/course/the-complete-angular-master-class/,Mosh Hamedani,4.6,25102.0,29.5,376,All Levels,101827.0,Paid,699
Modern HTML & CSS From The Beginning (Including Sass),"Build modern responsive websites & UIs with HTML5, CSS3 & Sass! Learn Flex & CSS Grid",https://www.udemy.com/course/modern-html-css-from-the-beginning/,Brad Traversy,4.7,21738.0,21.0,129,All Levels,65951.0,Paid,699
Angular & NodeJS - The MEAN Stack Guide [2022 Edition],Learn how to connect your Angular Frontend to a NodeJS & Express & MongoDB Backend by building a real Application,https://www.udemy.com/course/angular-2-and-nodejs-the-practical-guide/,Maximilian Schwarzmüller,4.6,21558.0,13.0,151,All Levels,108354.0,Paid,749
PHP for Beginners - Become a PHP Master - CMS Project,PHP for Beginners: learn everything you need to become a professional PHP developer with practical exercises & projects.,https://www.udemy.com/course/php-for-complete-beginners-includes-msql-object-oriented/,"Edwin Diaz, Coding Faculty Solutions",4.4,21414.0,38.5,344,All Levels,106218.0,Paid,849
The Complete React Developer Course (w/ Hooks and Redux),"Learn how to build and launch React web applications using React, Redux, Webpack, React-Router, and more!",https://www.udemy.com/course/react-2nd-edition/,Andrew Mead,4.6,21145.0,39.0,200,Beginner,76694.0,Paid,749
Learn and Understand AngularJS,"Master AngularJS and the Javascript concepts behind it, design custom directives, and build a single page application.",https://www.udemy.com/course/learn-angularjs/,Anthony Alicea,4.6,20589.0,7.0,55,All Levels,91776.0,Paid,649
Ethereum and Solidity: The Complete Developer's Guide,"Use Ethereum, Solidity, and Smart Contracts to build production-ready apps based on the blockchain",https://www.udemy.com/course/ethereum-and-solidity-the-complete-developers-guide/,Stephen Grider,4.6,19692.0,24.5,268,All Levels,100281.0,Paid,699
Python for beginners,Master the fundamentals of Python while working on various usecases in easy steps,https://www.udemy.com/course/python-core-and-advanced/,Bharath Thippireddy,4.6,19589.0,13.5,285,All Levels,221779.0,Paid,749
"Complete React Developer in 2022 (w/ Redux, Hooks, GraphQL)","Become a Senior React Developer! Build a massive E-commerce app with Redux, Hooks, GraphQL, ContextAPI, Stripe, Firebase",https://www.udemy.com/course/complete-react-developer-zero-to-mastery/,"Andrei Neagoie, Yihua Zhang, Zero To Mastery",4.6,18445.0,42.5,383,All Levels,90795.0,Paid,699
Build an app with ASPNET Core and Angular from scratch,A practical example of how to build an application with ASP.NET Core API and Angular from start to finish,https://www.udemy.com/course/build-an-app-with-aspnet-core-and-angular-from-scratch/,Neil Cummings,4.6,17902.0,30.0,264,Beginner,76685.0,Paid,849
Angular Crash Course for Busy Developers,Have limited time to learn Angular 4 (Angular 2+)? Take this course and learn Angular in 10 hours!,https://www.udemy.com/course/angular-crash-course/,Mosh Hamedani,4.5,17342.0,10.5,137,All Levels,71373.0,Paid,649
Become a WordPress Developer: Unlocking Power With Code,"Learn PHP, JavaScript, WordPress theming & the WP REST API to Create Custom & Interactive WordPress Websites",https://www.udemy.com/course/become-a-wordpress-developer-php-javascript/,Brad Schiff,4.7,17164.0,35.5,162,All Levels,74382.0,Paid,849
REST APIs with Flask and Python,"Build professional REST APIs with Python, Flask, Flask-RESTful, and Flask-SQLAlchemy",https://www.udemy.com/course/rest-api-flask-and-python/,"Jose Salvatierra, Teclado by Jose Salvatierra",4.6,16279.0,17.0,157,Intermediate,89582.0,Paid,799
Bootstrap 4 From Scratch With 5 Projects,Master Bootstrap 4 and build 5 real world themes while learning HTML5 semantics & CSS3,https://www.udemy.com/course/bootstrap-4-from-scratch-with-5-projects/,Brad Traversy,4.6,15537.0,11.5,74,All Levels,65165.0,Paid,849
Learn HTML5 Programming From Scratch,A Complete HTML5 Programming Course for Beginners,https://www.udemy.com/course/learn-html5-programming-from-scratch/,Eduonix Learning Solutions,4.1,14523.0,17.0,72,All Levels,318482.0,Paid,649
The Complete WordPress Website Business Course,"Master WordPress with this Complete WordPress Course, without learning how to code and without any programming!",https://www.udemy.com/course/the-complete-wordpress-website-business-course/,"Rob Percival, Gregg Davis, Codestars by Rob Percival",4.2,14388.0,22.0,115,All Levels,75958.0,Paid,699
"MERN Stack Front To Back: Full Stack React, Redux & Node.js","Build and deploy a social network with Node.js, Express, React, Redux & MongoDB. Fully updated April 2019",https://www.udemy.com/course/mern-stack-front-to-back/,Brad Traversy,4.6,14316.0,12.0,73,Intermediate,56221.0,Paid,899
Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,"Build a coding foundation as an entrepreneur, where I’ll take you through the entire process of coding your own website",https://www.udemy.com/course/html-css-more/,"Andrew Eddy, Margot Dukes",4.5,13846.0,5.5,58,Beginner,65343.0,Paid,649
Node with React: Fullstack Web Development,"Build and deploy fullstack web apps with NodeJS, React, Redux, Express, and MongoDB.",https://www.udemy.com/course/node-with-react-fullstack-web-development/,Stephen Grider,4.6,13830.0,26.0,211,All Levels,78924.0,Paid,849
The Complete Ruby on Rails Developer Course,Learn to make innovative web apps with Ruby on Rails and unleash your creativity,https://www.udemy.com/course/the-complete-ruby-on-rails-developer-course/,"Rob Percival, Mashrur Hossain, Codestars by Rob Percival",4.6,13382.0,48.0,432,All Levels,84947.0,Paid,849
The Coding Interview Bootcamp: Algorithms + Data Structures,Ace your next Javascript coding interview by mastering data structures and algorithms.,https://www.udemy.com/course/coding-interview-bootcamp-algorithms-and-data-structure/,Stephen Grider,4.7,13100.0,13.0,137,All Levels,85767.0,Paid,899
Javascript for Beginners Learn by Doing Practical Exercises,JavaScript for Beginners : Work closely with me doing exercises & learn more. I make Javascript easy for you guaranteed.,https://www.udemy.com/course/javascript-for-beginners-introduction-learn-fast-easy/,"Edwin Diaz, Coding Faculty Solutions",4.5,13049.0,4.0,31,All Levels,31330.0,Paid,649
Ultimate Web Designer & Web Developer Course,Become a Full-Stack Web Designer in 2022 - Learn Everything from Web Design Fundamentals to Front-End Web Development,https://www.udemy.com/course/web-developer-course/,Brad Hussey,4.5,12834.0,34.5,260,All Levels,73936.0,Paid,649
Docker Crash Course for busy DevOps and Developers,Learn how to develop and deploy web applications with Docker technologies. Take your DevOps skills to the next level.,https://www.udemy.com/course/docker-tutorial-for-devops-run-docker-containers/,"Tao W., Level Up, James Lee",4.3,12603.0,3.0,49,All Levels,57532.0,Paid,799
The Complete Front-End Web Development Course!,"Get started as a front-end web developer using HTML, CSS, JavaScript, jQuery, and Bootstrap!",https://www.udemy.com/course/front-end-web-development/,"Joseph Delgadillo, Nick Germaine",4.4,12596.0,17.0,126,All Levels,422875.0,Paid,899
The Modern JavaScript Bootcamp,"Learn JavaScript by building real-world apps. Includes 3 real-world projects, 80 programming challenges, and ES6/ES7!",https://www.udemy.com/course/modern-javascript/,Andrew Mead,4.7,12042.0,29.5,155,All Levels,47290.0,Paid,649
AWS Serverless APIs & Apps - A Complete Introduction,"Get into serverless computing with API Gateway, AWS Lambda and other Amazon Web Services! Zero server config APIs & SPAs",https://www.udemy.com/course/aws-serverless-a-complete-introduction/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,11370.0,8.0,142,All Levels,71916.0,Paid,749
ES6 Javascript: The Complete Developer's Guide,ES6 Javascript Development from scratch.  Get practice with live examples and learn exactly where to apply ES6 features.,https://www.udemy.com/course/javascript-es6-tutorial/,Stephen Grider,4.7,11318.0,6.5,70,Beginner,46981.0,Paid,649
PHP with Laravel for beginners - Become a Master in Laravel,Learn to master Laravel to make advanced applications like the real CMS app we build on this course,https://www.udemy.com/course/php-with-laravel-for-beginners-become-a-master-in-laravel/,"Edwin Diaz, Coding Faculty Solutions",4.5,11129.0,43.0,409,All Levels,47724.0,Paid,649
"Beginner Full Stack Web Development: HTML, CSS, React & Node","Learn web development with HTML, CSS, Bootstrap 4, ES6 React and Node",https://www.udemy.com/course/ultimate-web/,"Mark Wahlbeck, Devslopes by Mark Wahlbeck",4.5,10979.0,31.5,168,Beginner,115146.0,Paid,799
"Node.js, Express, MongoDB & More: The Complete Bootcamp 2022","Master Node by building a real-world RESTful API and web app (with authentication, Node.js security, payments & more)",https://www.udemy.com/course/nodejs-express-mongodb-bootcamp/,Jonas Schmedtmann,4.7,10645.0,42.0,229,All Levels,62741.0,Paid,699
Node.js: The Complete Guide to Build RESTful APIs (2018),"Learn to build fast, scalable and secure RESTful services with Node, Express and MongoDB, from setup to production",https://www.udemy.com/course/nodejs-master-class/,Mosh Hamedani,4.7,10624.0,15.0,224,Intermediate,44608.0,Paid,749
Microservices with Node JS and React,"Build, deploy, and scale an E-Commerce app using Microservices built with Node, React, Docker and Kubernetes",https://www.udemy.com/course/microservices-with-node-js-and-react/,Stephen Grider,4.8,10565.0,54.5,642,All Levels,71315.0,Paid,749
Advanced React and Redux,"Walkthroughs on advanced React v16.6.3 and Redux v4.0.0 - Authentication, Testing, Middlewares, HOC's, and Deployment",https://www.udemy.com/course/react-redux-tutorial/,Stephen Grider,4.5,10419.0,21.0,240,Intermediate,78276.0,Paid,699
JavaScript: The Advanced Concepts (2022 Update),Learn modern advanced JavaScript practices and be in the top 10% of JavaScript developers,https://www.udemy.com/course/advanced-javascript-concepts/,"Andrei Neagoie, Zero To Mastery",4.7,10192.0,25.5,229,All Levels,54803.0,Paid,799
Progressive Web Apps (PWA) - The Complete Guide,"Build a Progressive Web App (PWA) that feels like an iOS & Android App, using Device Camera, Push Notifications and more",https://www.udemy.com/course/progressive-web-app-pwa-the-complete-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,9750.0,16.0,208,All Levels,56206.0,Paid,749
Master Java Web Services and RESTful API with Spring Boot,Build Java Web Services & REST API - RESTful & SOAP - with Spring & Spring Boot. Learn REST API & SOAP Web Services Now!,https://www.udemy.com/course/spring-web-services-tutorial/,in28Minutes Official,4.4,9602.0,9.5,109,All Levels,55849.0,Paid,799
AWS CloudFormation Master Class v2 [2022],Write Complete AWS CloudFormation Templates using YAML. Learn all the Recent Cloud Formation Features,https://www.udemy.com/course/aws-cloudformation-master-class/,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",4.7,9467.0,7.0,113,All Levels,44550.0,Paid,899
Build Websites from Scratch with HTML & CSS,Learn Web Development Essentials and Become a Web Developer From Scratch in this Complete HTML & CSS Beginner's Course,https://www.udemy.com/course/build-website-scratch/,"Brad Hussey, Code College",4.6,9334.0,8.0,77,Beginner,75312.0,Paid,799
The Advanced Web Developer Bootcamp,"Learn React 16, Redux, D3, ES2015, Testing, CSS Flexbox, Animations, SVG, AJAX, and more!",https://www.udemy.com/course/the-advanced-web-developer-bootcamp/,"Colt Steele, Elie Schoppik, Tim Garcia, Matt Lane",4.5,8937.0,34.0,391,Intermediate,74740.0,Paid,749
GraphQL with React: The Complete Developers Guide,Learn and master GraphQL by building real web apps with React and Node,https://www.udemy.com/course/graphql-with-react-course/,Stephen Grider,4.5,8755.0,13.5,116,Intermediate,52405.0,Paid,849
React Front To Back,"Learn Modern React 16.8+ Including Hooks, Context API, Full Stack MERN & Redux By Building Real Life Projects",https://www.udemy.com/course/modern-react-front-to-back/,Brad Traversy,4.4,8610.0,14.0,91,All Levels,32679.0,Paid,899
"Modern JavaScript (Complete guide, from Novice to Ninja)",Learn Modern JavaScript from the very start to ninja-level & build awesome JavaScript applications.,https://www.udemy.com/course/modern-javascript-from-novice-to-ninja/,The Net Ninja (Shaun Pelling),4.8,8258.0,20.5,188,All Levels,25969.0,Paid,649
Front End Web Development Ultimate Course 2022,You'll learn all the fundamentals of Front-End Web Development and how you can  Use them to start creating websites!,https://www.udemy.com/course/learn-front-end-development/,Learn Tech Plus,4.2,8212.0,91.5,689,All Levels,490956.0,Paid,849
Web Development Masterclass - Complete Certificate Course,Learn to setup virtual cloud servers and develop database-driven websites using the latest web technologies.,https://www.udemy.com/course/web-development-masterclass-complete-certificate-course/,YouAccel Training,4.4,7951.0,20.5,372,All Levels,408878.0,Paid,699
Docker & Kubernetes: The Practical Guide [2022 Edition],"Learn Docker, Docker Compose, Multi-Container Projects, Deployment and all about Kubernetes from the ground up!",https://www.udemy.com/course/docker-kubernetes-the-practical-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.8,7854.0,23.5,259,All Levels,54684.0,Paid,899
Learn Object Oriented PHP By Building a Complete Website,Quick and Easy Guide to Master OOPs in PHP,https://www.udemy.com/course/learn-object-oriented-php-by-building-a-complete-website/,"Eduonix Learning Solutions, Eduonix-Tech .",4.6,7766.0,4.5,33,All Levels,112923.0,Paid,599
Go Java Full Stack with Spring Boot and Angular,Become a Full Stack Java Developer. Build Your First Java Full Stack Application with Angular and Spring Boot.,https://www.udemy.com/course/full-stack-application-development-with-spring-boot-and-angular/,in28Minutes Official,4.5,7311.0,11.0,125,All Levels,63763.0,Paid,649
NestJS Zero to Hero - Modern TypeScript Back-end Development,Develop and deploy enterprise back-end applications following best practices using Node.js and TypeScript,https://www.udemy.com/course/nestjs-zero-to-hero/,Ariel Weinberger,4.8,7191.0,9.0,136,All Levels,103463.0,Paid,749
"Angular (Full App) with Angular Material, Angularfire & NgRx","Use Angular, Angular Material, Angularfire (+ Firebase with Firestore) and NgRx to build a real Angular App",https://www.udemy.com/course/angular-full-app-with-angular-material-angularfire-ngrx/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.7,7101.0,11.5,140,All Levels,36518.0,Paid,699
The Complete Developers Guide to MongoDB,Master MongoDB and Mongoose design with a test-driven approach,https://www.udemy.com/course/the-complete-developers-guide-to-mongodb/,Stephen Grider,4.5,7091.0,13.5,130,All Levels,46351.0,Paid,799
The Complete Junior to Senior Web Developer Roadmap (2022),Go from Junior Developer to Senior Developer. Learn all the technical skills Senior Web Developers know!,https://www.udemy.com/course/the-complete-junior-to-senior-web-developer-roadmap/,"Andrei Neagoie, Zero To Mastery",4.7,7073.0,37.0,437,Intermediate,62483.0,Paid,799
Node JS: Advanced Concepts,"Get advanced with Node.Js! Learn caching with Redis, speed up through clustering, and add image upload with S3 and Node!",https://www.udemy.com/course/advanced-node-for-developers/,Stephen Grider,4.6,7043.0,16.0,168,Intermediate,45030.0,Paid,649
Advanced Javascript,In only seven hours you will learn enough javascript to transform from a Junior JS Dev into a Senior JS Guru,https://www.udemy.com/course/javascript-advanced/,Asim Hussain,4.6,6904.0,6.5,47,Intermediate,28253.0,Paid,799
Python and Flask Bootcamp: Create Websites using Flask!,Create awesome websites using the powerful Flask framework for Python!,https://www.udemy.com/course/python-and-flask-bootcamp-create-websites-using-flask/,Jose Portilla,4.6,6845.0,20.0,127,All Levels,36277.0,Paid,799
Git a Web Developer Job: Mastering the Modern Workflow,"Learn Git, GitHub, Node.js, NPM, Object-oriented JavaScript, ES6, webpack, Netlify, BEM and Job Interview Tips",https://www.udemy.com/course/git-a-web-developer-job-mastering-the-modern-workflow/,Brad Schiff,4.6,6831.0,16.0,74,Beginner,33668.0,Paid,649
"50 Projects In 50 Days - HTML, CSS & JavaScript","Sharpen your skills by building 50 quick, unique & fun mini projects",https://www.udemy.com/course/50-projects-50-days/,"Brad Traversy, Florin Pop",4.7,6820.0,18.5,164,Beginner,43005.0,Paid,799
"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",Just published! Follow the same curriculum I teach my students in SF. 10+ projects including one HUGE application!,https://www.udemy.com/course/modern-react-bootcamp/,Colt Steele,4.6,6530.0,39.0,313,Beginner,33908.0,Paid,899
Web Development w/ Google’s Go (golang) Programming Language,Learn Web Programming from a University Professor in Computer Science with over 20 years of teaching experience.,https://www.udemy.com/course/go-programming-language/,Todd McLeod,4.6,6506.0,19.0,173,Intermediate,48390.0,Paid,799
"HTML, CSS, & JavaScript - Certification Course for Beginners","A Comprehensive Guide for Beginners interested in learning HTML, CSS, & JavaScript to Build Interactive Web Pages.",https://www.udemy.com/course/html-css-javascript-certification-course-for-beginners/,YouAccel Training,4.2,6498.0,5.5,113,Beginner,240650.0,Paid,649
The Complete 2022 Web Development Course - Build 15 Projects,"The only course you need to become a full-stack web developer. Covers HTML5, CSS3, JS, ES6, Node, APIs, Mobile & more!",https://www.udemy.com/course/complete-web-development-course/,Development Island (UK),4.5,6400.0,99.5,508,All Levels,29929.0,Paid,699
Angular Front To Back,Master Angular 5 from the basics to building an advanced application with Firebase's Firestore as well as authentication,https://www.udemy.com/course/angular-4-front-to-back/,Brad Traversy,4.7,6351.0,11.5,73,All Levels,23717.0,Paid,649
The Complete Elixir and Phoenix Bootcamp,Master Functional Programming techniques with Elixir and Phoenix while learning to build compelling web applications!,https://www.udemy.com/course/the-complete-elixir-and-phoenix-bootcamp-and-tutorial/,Stephen Grider,4.5,6275.0,17.5,154,All Levels,23043.0,Paid,699
Master Hibernate and JPA with Spring Boot in 100 Steps,"Learn Hibernate, JPA (Java Persistence API) and Spring Data JPA using Spring and Spring Boot",https://www.udemy.com/course/hibernate-jpa-tutorial-for-beginners-in-100-steps/,in28Minutes Official,4.5,6172.0,13.0,158,All Levels,50544.0,Paid,799
Nuxt.js - Vue.js on Steroids,Build highly engaging Vue JS apps with Nuxt.js. Nuxt adds easy server-side-rendering and a folder-based config approach.,https://www.udemy.com/course/nuxtjs-vuejs-on-steroids/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",4.6,6132.0,6.5,106,Intermediate,29276.0,Paid,899
Build Web Apps with Vue JS 3 & Firebase,Learn Vue JS 3 & Firebase by creating & deploying dynamic web apps (including Authentication).,https://www.udemy.com/course/build-web-apps-with-vuejs-firebase/,The Net Ninja (Shaun Pelling),4.8,6008.0,31.5,314,All Levels,23855.0,Paid,699
"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide","Build fullstack React.js applications with Node.js, Express.js & MongoDB (MERN) with this project-focused course.",https://www.udemy.com/course/react-nodejs-express-mongodb-the-mern-fullstack-guide/,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz",4.6,5962.0,19.0,207,All Levels,34170.0,Paid,749
Learn Spring Boot in 100 Steps - No 1 Java Framework,Become an expert on Spring Boot developing a REST API and a Spring MVC Web application using Maven in 100 steps,https://www.udemy.com/course/spring-boot-tutorial-for-beginners/,in28Minutes Official,4.4,5908.0,13.5,128,All Levels,50526.0,Paid,799
20 Web Projects With Vanilla JavaScript,"Build 20 mini frontend projects from scratch with HTML5, CSS & JavaScript (No frameworks or libraries)",https://www.udemy.com/course/web-projects-with-vanilla-javascript/,Brad Traversy,4.8,5576.0,16.0,121,All Levels,30955.0,Paid,849
The Complete 2020 Fullstack Web Developer Course,"Learn HTML5, CSS3, JavaScript, Python, Wagtail CMS, PHP & MySQL from scratch!",https://www.udemy.com/course/thecompletewebdeveloper/,Kalob Taulien,4.6,5542.0,67.0,695,All Levels,86347.0,Paid,699
Django 2.2 & Python | The Ultimate Web Development Bootcamp,"Build three complete websites, learn back and front-end web development, and publish your site online with DigitalOcean",https://www.udemy.com/course/the-ultimate-beginners-guide-to-django-django-2-python-web-dev-website/,Nick Walter,4.6,5505.0,10.0,78,Beginner,22928.0,Paid,749
JavaScript Beginner Bootcamp (2022),"JavaScript for Beginners: Projects based learning, whiteboard animations, coding in the browser and quizzes.",https://www.udemy.com/course/javascript-the-basics-for-beginners/,Rob Merrill,4.7,5481.0,38.5,385,Beginner,24051.0,Paid,649
Salesforce Development Training for Beginners,Salesforce Development :Learn about Apex programming and Salesforce development. Become a Salesforce Developer.,https://www.udemy.com/course/learn-salesforce-apex-basic-to-advance/,Deepika Khanna,4.5,5465.0,14.0,110,All Levels,27137.0,Paid,799
Web Developer Bootcamp with Flask and Python,"Become a Full Stack Web Developer using Flask, Python, HTML, CSS, and MongoDB!",https://www.udemy.com/course/web-developer-bootcamp-flask-python/,"Jose Salvatierra, Teclado by Jose Salvatierra",4.5,5337.0,28.5,291,Intermediate,35675.0,Paid,749
E-Commerce Website in PHP & MySQL From Scratch!,Learn to Create an Online Store E-COMMERCE website in PHP & MySQLi from scratch with Admin Panel.,https://www.udemy.com/course/online-store-e-commerce-website-in-php-mysql-from-scratch/,Abdul Wali,4.1,5335.0,7.5,61,All Levels,123618.0,Paid,699
Accelerated JavaScript Training,"Take a deep dive into JavaScript, a Must-Know Language in Web Development, with a Hands-on, Example-driven Approach",https://www.udemy.com/course/javascript-bootcamp-2016/,Maximilian Schwarzmüller,4.6,5266.0,7.5,128,All Levels,22808.0,Paid,749
Bash Shell Scripting: Crash Course For Beginners,"Learn Bash Shell Scripting from total beginner:Start from the Command Line,finish with a real world Shell Script Project",https://www.udemy.com/course/bash-shell-scripting-crash-course-for-beginners/,Francesco Santi,4.5,5251.0,5.5,75,All Levels,19346.0,Paid,799
MERN eCommerce From Scratch,"Build an eCommerce platform from the ground up with React, Redux, Express & MongoDB",https://www.udemy.com/course/mern-ecommerce/,Brad Traversy,4.6,5164.0,15.0,92,All Levels,19926.0,Paid,899
React JS Web Development - The Essentials Bootcamp,"Bootcamp on the React.js essentials. Gain a strong foundation of the core concepts, and build exciting and useful apps!",https://www.udemy.com/course/react-js-and-redux-mastering-web-apps/,David Joseph Katz,4.3,5146.0,11.0,125,All Levels,66914.0,Paid,649
Accelerated ES6 JavaScript Training,Learn and Use the Future of JavaScript - Today!,https://www.udemy.com/course/es6-bootcamp-next-generation-javascript/,Maximilian Schwarzmüller,4.6,5143.0,6.0,115,Intermediate,29347.0,Paid,799
Next.js & React - The Complete Guide (incl. Two Paths!),"Learn NextJS from the ground up and build production-ready, fullstack ReactJS apps with the NextJS framework!",https://www.udemy.com/course/nextjs-react-the-complete-guide/,Maximilian Schwarzmüller,4.8,5096.0,25.0,273,All Levels,34885.0,Paid,799
Build a Backend REST API with Python & Django - Advanced,"Create an advanced REST API with Python, Django REST Framework and Docker using Test Driven Development (TDD)",https://www.udemy.com/course/django-python-advanced/,"Mark Winterbottom, Brooke Rutherford",4.6,5094.0,8.0,79,Intermediate,25603.0,Paid,799
Webpack 2: The Complete Developer's Guide,"Master Webpack 2 as you deploy web apps supported by Babel, code splitting, and ES2015 Modules.",https://www.udemy.com/course/webpack-2-the-complete-developers-guide/,Stephen Grider,4.8,5066.0,5.5,57,All Levels,24382.0,Paid,749
Python Django Dev To Deployment,Learn Python and build & deploy a real estate application using the Django framework & PostgreSQL,https://www.udemy.com/course/python-django-dev-to-deployment/,Brad Traversy,4.6,5048.0,11.0,70,Intermediate,21364.0,Paid,699
Complete guide to ASP.NET Core MVC (.NET 6),"Build real world application using ASP.NET Core MVC, Entity Framework Core and ASP.NET Core Identity.",https://www.udemy.com/course/complete-aspnet-core-21-course/,Bhrugen Patel,4.5,4896.0,29.0,427,Intermediate,24145.0,Paid,749
